Hora,Tractora,Remolque
07:00,2371-FHF,
08:00,5822-LWS,
08:00,MTH387,SN396
09:00,L-213156,
09:00,L214739,
10:00,2538,
10:00,R5043-BBT,3950-NB
10:00,6453-JGN,R-8380-BCB
11:00,1796-JTV,R-6872-BDL
11:00,4650-MFC,R-1161-BDN
11:00,3972-JPZ,R-5808-BCG
12:00,1088-KKG,R-7948-BCZ
12:00,4089-LLK,R-1940-BBZ
12:00,LE-2610,
13:00,7599-KWL,R-2815-BCP
13:00,3453-HZS,R-6097-BCT
13:00,LE-3316,
14:00,2371-FHF,
14:00,5313-KCR,R-9304-BBN
14:00,,
14:00,,
15:00,,
15:00,,
15:00,3453-HZS,R-6097-BCT
16:00,,
16:00,AZ01,C69003
18:00,,
18:00,,
18:00,,
